,Kateqoriya,Sah?,Ç?xar??,T?mir,Otaq Say?,Rayon,Q?s?b?,Elan ID,Qiym?t,Elan Sahibi,?poteka,Elan Linki,Enine Koordinat,Uzununa Koordinat,Evin M?rt?b?si,Ümumi M?rt?b? Say?
0,Köhn? tikili,60,var,var,2,Suraxan? r.,Yeni Gün??li q.,5351294,125000,vasit?çi (agent),Yoxdur,https://bina.az/items/5351294,40.37409206,49.97978913,7,9
1,Yeni tikili,52,var,var,2,Sabunçu r.,Bak?xanov q.,5327692,140000,mülkiyy?tçi,var,https://bina.az/items/5327692,40.41900158,49.9722147,15,15
2,Köhn? tikili,50,var,var,2,Memar ?c?mi m.,N?simi r.,5343849,138000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5343849,40.41043881,49.81622815,1,5
3,Yeni tikili,50,yoxdur,yoxdur,2,Koro?lu m.,N?rimanov r.,5351545,143000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5351545,40.42098404,49.91635858,6,15
4,Köhn? tikili,63,var,var,3,Qarada? r.,Lökbatan q.,5376288,130000,vasit?çi (agent),Yoxdur,https://bina.az/items/5376288,40.32318483,49.72979506,3,4
5,Köhn? tikili,60,var,var,2,Memar ?c?mi m.,20 Yanvar m.,5326757,125000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5326757,40.41083258,49.80657225,3,5
6,Yeni tikili,54,var,yoxdur,1,Suraxan? r.,Qaraçuxur q.,5152545,107000,mülkiyy?tçi,var,https://bina.az/items/5152545,40.39851147,49.97306507,4,12
7,Yeni tikili,90,var,var,3,Ab?eron r.,Masaz?r q.,5367052,132000,vasit?çi (agent),Yoxdur,https://bina.az/items/5367052,40.49141259,49.7544411,9,11
8,Köhn? tikili,61,var,var,2,Ukrayna dair?si,H?zi Aslanov m.,5368064,126000,vasit?çi (agent),Yoxdur,https://bina.az/items/5368064,40.37885119,49.95421396,9,9
9,Köhn? tikili,85,var,var,3,Bin?q?di r.,Bil?c?ri q.,5376268,147000,mülkiyy?tçi,var,https://bina.az/items/5376268,40.42942384,49.80255149,1,5
10,Köhn? tikili,58,var,var,2,Neapol dair?si,X?tai r.,5376266,122000,vasit?çi (agent),var,https://bina.az/items/5376266,40.38239705,49.96806416,9,9
11,Köhn? tikili,90,var,var,3,Suraxan? r.,Yeni Gün??li q.,5324524,127000,vasit?çi (agent),Yoxdur,https://bina.az/items/5324524,40.3795368,49.98096811,9,9
12,Köhn? tikili,75,var,var,3,X?tai r.,Köhn? Gün??li q.,5376258,135000,mülkiyy?tçi,var,https://bina.az/items/5376258,40.36680476,49.96474149,16,16
13,Yeni tikili,67,var,yoxdur,2,Avtova?zal m.,Bin?q?di r.,5351930,115000,vasit?çi (agent),var,https://bina.az/items/5351930,40.42140297,49.79501724,3,15
14,Yeni tikili,128,yoxdur,var,3,Yasamal r.,Yeni Yasamal q.,5356469,150000,vasit?çi (agent),Yoxdur,https://bina.az/items/5356469,40.40117436,49.79187445,16,17
15,Köhn? tikili,45,var,yoxdur,2,20 Yanvar m.,Memar ?c?mi m.,5316549,118000,vasit?çi (agent),Yoxdur,https://bina.az/items/5316549,40.4093031,49.80743403,2,5
16,Köhn? tikili,71,var,var,2,H?zi Aslanov m.,X?tai r.,5202505,150000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5202505,40.37395103,49.9518429,4,4
17,Yeni tikili,60,var,var,2,X?tai r.,?hm?dli q.,5267343,118200,mülkiyy?tçi,var,https://bina.az/items/5267343,40.36944993,49.96638948,5,6
18,Yeni tikili,91,var,var,2,H?zi Aslanov m.,X?tai r.,5376239,145000,vasit?çi (agent),var,https://bina.az/items/5376239,40.3724963,49.94951397,17,17
19,Yeni tikili,61,var,var,2,Yasamal r.,Yeni Yasamal q.,5372557,138000,vasit?çi (agent),var,https://bina.az/items/5372557,40.38994699,49.78753273,14,21
20,Yeni tikili,58,var,var,2,Memar ?c?mi m.,N?simi r.,5340977,150000,vasit?çi (agent),var,https://bina.az/items/5340977,40.41303941,49.82366549,5,16
21,Köhn? tikili,36,var,var,1,Xalqlar Dostlu?u m.,Nizami r.,5335250,102000,vasit?çi (agent),Yoxdur,https://bina.az/items/5335250,40.39745391,49.94360991,4,5
22,Yeni tikili,58,var,var,2,Memar ?c?mi m.,Bin?q?di r.,5324522,138000,vasit?çi (agent),var,https://bina.az/items/5324522,40.41973224,49.80790313,13,18
23,Yeni tikili,90,var,var,3,Sabunçu r.,Kürd?xan? q.,5376223,110000,vasit?çi (agent),Yoxdur,https://bina.az/items/5376223,40.51170853,49.94380104,8,9
24,Yeni tikili,53,var,var,2,H?zi Aslanov m.,X?tai r.,5303626,150000,vasit?çi (agent),var,https://bina.az/items/5303626,40.37084518,49.95436926,7,16
25,Yeni tikili,78,yoxdur,yoxdur,2,Bak? Dövl?t Universiteti,Elml?r Akademiyas? m.,5259328,120000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5259328,40.37354042,49.80580199,14,18
26,Köhn? tikili,55,var,var,2,S?bail r.,Badamdar q.,5354571,145000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5354571,40.33660906,49.80745569,3,4
27,Yeni tikili,64,var,var,2,Yasamal r.,Yeni Yasamal q.,5376208,140000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5376208,40.38841754,49.78670339,12,12
28,Köhn? tikili,65,var,var,3,?hm?dli m.,X?tai r.,5362376,145000,vasit?çi (agent),Yoxdur,https://bina.az/items/5362376,40.3864284,49.95733172,5,9
29,Yeni tikili,95,var,var,2,Ab?eron r.,Masaz?r q.,5376207,125000,vasit?çi (agent),Yoxdur,https://bina.az/items/5376207,40.49288191,49.74631714,5,7
30,Yeni tikili,53,var,var,3,Suraxan? r.,Yeni Gün??li q.,5376205,133000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5376205,40.37057076,49.97785717,3,15
31,Köhn? tikili,65,var,var,2,H?zi Aslanov m.,X?tai r.,5345480,143000,vasit?çi (agent),var,https://bina.az/items/5345480,40.37249262,49.9492979,1,9
32,Yeni tikili,80,var,var,3,Suraxan? r.,Hövsan q.,5339532,108000,mülkiyy?tçi,var,https://bina.az/items/5339532,40.38508401,50.06994326,5,9
33,Köhn? tikili,50,var,var,3,F?vvar?l?r meydan?,M?rk?zi Univermaq,5186676,138000,vasit?çi (agent),Yoxdur,https://bina.az/items/5186676,40.37220699,49.83747998,1,5
34,Köhn? tikili,57,var,var,2,Xalqlar Dostlu?u m.,Nizami r.,5259652,132000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5259652,40.39740882,49.94153095,2,5
35,Köhn? tikili,76,var,var,4,X?tai r.,Köhn? Gün??li q.,5371133,150000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5371133,40.36722297,49.9681472,9,9
36,Köhn? tikili,55,var,var,2,Neftçil?r m.,Nizami r.,5364482,128000,vasit?çi (agent),Yoxdur,https://bina.az/items/5364482,40.40231077,49.93940924,4,5
37,Köhn? tikili,50,var,var,2,20 Yanvar m.,Memar ?c?mi m.,5372903,115000,vasit?çi (agent),Yoxdur,https://bina.az/items/5372903,40.40830734,49.80570505,1,5
38,Yeni tikili,30,var,var,1,20 Yanvar m.,Yasamal r.,5278369,103000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5278369,40.39779382,49.80834246,5,20
39,Yeni tikili,55,var,var,2,X?tai r.,?hm?dli q.,5217376,143000,vasit?çi (agent),Yoxdur,https://bina.az/items/5217376,40.36521758,49.95976925,10,20
40,Köhn? tikili,60,var,var,2,Azadl?q Prospekti m.,Bin?q?di r.,5349926,104000,vasit?çi (agent),Yoxdur,https://bina.az/items/5349926,40.4339581,49.8366238,4,5
41,Yeni tikili,90,var,var,3,Ab?eron r.,Masaz?r q.,5366966,132000,vasit?çi (agent),Yoxdur,https://bina.az/items/5366966,40.49102094,49.75838931,9,11
42,Köhn? tikili,85,var,var,3,Memar ?c?mi m.,20 Yanvar m.,5281463,145000,vasit?çi (agent),var,https://bina.az/items/5281463,40.41012171,49.80723366,3,5
43,Köhn? tikili,55,var,var,2,Memar ?c?mi m.,N?simi r.,5281228,120000,vasit?çi (agent),Yoxdur,https://bina.az/items/5281228,40.41651843,49.81645346,3,5
44,Köhn? tikili,45,var,var,2,Bin?q?di r.,9-cu mikrorayon q.,5357533,120000,vasit?çi (agent),var,https://bina.az/items/5357533,40.42160225,49.80927739,1,9
45,Köhn? tikili,70,var,var,2,H?zi Aslanov m.,X?tai r.,5329928,135000,vasit?çi (agent),Yoxdur,https://bina.az/items/5329928,40.36897823,49.9599281,6,9
46,Köhn? tikili,65,var,var,2,?n?aatç?lar m.,Yasamal r.,5374766,145000,vasit?çi (agent),Yoxdur,https://bina.az/items/5374766,40.39405594,49.79758641,2,9
47,Köhn? tikili,62,var,var,2,H?zi Aslanov m.,X?tai r.,5373342,139000,vasit?çi (agent),Yoxdur,https://bina.az/items/5373342,40.37056327,49.96118771,1,9
48,Köhn? tikili,50,var,var,1,Xalqlar Dostlu?u m.,Nizami r.,5358663,112000,vasit?çi (agent),Yoxdur,https://bina.az/items/5358663,40.40134923,49.95405187,2,9
49,Yeni tikili,48,var,var,2,Bin?q?di r.,Bil?c?ri q.,5376147,139000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5376147,40.440334,49.8056617,16,16
50,Köhn? tikili,55,var,var,2,20 Yanvar m.,Memar ?c?mi m.,5364247,134800,vasit?çi (agent),Yoxdur,https://bina.az/items/5364247,40.40841633,49.80986642,2,5
51,Köhn? tikili,55,var,var,2,?n?aatç?lar m.,Yasamal r.,5270288,150000,vasit?çi (agent),Yoxdur,https://bina.az/items/5270288,40.3898288,49.80275508,3,5
52,Köhn? tikili,76,var,var,3,Suraxan? r.,Yeni Gün??li q.,5351981,148000,mülkiyy?tçi,var,https://bina.az/items/5351981,40.37696352,49.98050272,8,9
53,Yeni tikili,113,yoxdur,var,3,Suraxan? r.,Gün??li q.,5315679,115000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5315679,40.37786292,49.98443287,7,16
54,Köhn? tikili,55,var,var,2,Sabunçu r.,Bak?xanov q.,5376146,145000,mülkiyy?tçi,var,https://bina.az/items/5376146,40.41943101,49.96993853,6,9
55,Köhn? tikili,45,var,var,2,Xalqlar Dostlu?u m.,Nizami r.,5357541,125000,vasit?çi (agent),var,https://bina.az/items/5357541,40.40491578,49.95651518,5,9
56,Yeni tikili,53,yoxdur,var,2,Sabunçu r.,Bak?xanov q.,5342556,144000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5342556,40.42648928,49.95332927,3,9
57,Köhn? tikili,50,var,var,2,N?riman N?rimanov m.,N?riman N?rimanov park?,5287249,135000,vasit?çi (agent),Yoxdur,https://bina.az/items/5287249,40.40253021,49.87096415,4,5
58,Köhn? tikili,70,var,var,3,Neftçil?r m.,Nizami r.,4881897,145000,vasit?çi (agent),var,https://bina.az/items/4881897,40.41375745,49.95037079,3,9
59,Köhn? tikili,60,var,var,2,X?tai r.,?hm?dli m.,5331603,128500,vasit?çi (agent),var,https://bina.az/items/5331603,40.36438345,49.95987879,7,9
60,Yeni tikili,41,var,var,1,Yasamal r.,Yeni Yasamal q.,5314530,120000,vasit?çi (agent),var,https://bina.az/items/5314530,40.36921866,49.79733653,8,9
61,Yeni tikili,58,yoxdur,yoxdur,1,Sea Breeze,Sabunçu r.,5253235,147000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5253235,40.57903644,49.93944883,2,9
62,Yeni tikili,75,var,var,3,Neftçil?r m.,Nizami r.,4636658,140000,mülkiyy?tçi,Yoxdur,https://bina.az/items/4636658,40.40793197,49.94245873,17,17
63,Yeni tikili,73,var,yoxdur,2,Avtova?zal m.,Bin?q?di r.,5368513,124000,vasit?çi (agent),var,https://bina.az/items/5368513,40.4282422,49.79102542,7,16
64,Yeni tikili,55,var,var,2,X?tai r.,?hm?dli q.,5349077,149000,vasit?çi (agent),Yoxdur,https://bina.az/items/5349077,40.35561987,49.96058464,6,19
65,Yeni tikili,60,var,var,2,Sabunçu r.,Bak?xanov q.,5376111,107000,vasit?çi (agent),var,https://bina.az/items/5376111,40.425626,49.947598,11,20
66,Köhn? tikili,45,var,var,2,?hm?dli m.,X?tai r.,5363521,114000,vasit?çi (agent),Yoxdur,https://bina.az/items/5363521,40.38814706,49.96296852,6,9
67,Yeni tikili,43,var,var,2,20 Yanvar m.,N?simi r.,5124087,138000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5124087,40.39789792,49.80870587,15,20
68,Köhn? tikili,55,var,var,3,Neftçil?r m.,Nizami r.,5315548,126500,mülkiyy?tçi,Yoxdur,https://bina.az/items/5315548,40.40448947,49.94277093,5,5
69,Yeni tikili,30,var,var,1,20 Yanvar m.,Yasamal r.,5197454,108000,vasit?çi (agent),var,https://bina.az/items/5197454,40.39779382,49.80834246,6,20
70,Yeni tikili,48,var,var,2,20 Yanvar m.,Yasamal r.,5298933,149000,vasit?çi (agent),var,https://bina.az/items/5298933,40.39779382,49.80834246,7,17
71,Yeni tikili,30,var,var,1,20 Yanvar m.,Yasamal r.,5157881,103000,vasit?çi (agent),var,https://bina.az/items/5157881,40.39779382,49.80834246,5,20
72,Köhn? tikili,80,var,var,3,Suraxan? r.,Qaraçuxur q.,5193236,146000,mülkiyy?tçi,var,https://bina.az/items/5193236,40.39626542,49.98277364,6,9
73,Yeni tikili,90,var,var,3,Ab?eron r.,Masaz?r q.,5367947,132000,vasit?çi (agent),Yoxdur,https://bina.az/items/5367947,40.49173896,49.76053507,9,11
74,Köhn? tikili,30,var,var,1,?n?aatç?lar m.,Yasamal r.,5376102,110000,vasit?çi (agent),Yoxdur,https://bina.az/items/5376102,40.38637905,49.80543174,3,5
75,Yeni tikili,44,var,var,2,Bak? Asiya Universiteti,20 Yanvar m.,5335273,120000,mülkiyy?tçi,var,https://bina.az/items/5335273,40.40172772,49.81388893,11,20
76,Yeni tikili,113,var,var,2,['Suraxan? r.'],Yoxdur,5376090,115000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5376090,40.37778969,49.98419534,8,15
77,Yeni tikili,106,yoxdur,yoxdur,3,Suraxan? r.,Qaraçuxur q.,5197367,120000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5197367,40.374,50.021,4,4
78,Köhn? tikili,42,var,var,1,Memar ?c?mi m.,N?simi r.,5356925,116000,vasit?çi (agent),Yoxdur,https://bina.az/items/5356925,40.41625799,49.81655846,2,9
79,Köhn? tikili,66,var,var,3,H?zi Aslanov m.,X?tai r.,4924623,127000,vasit?çi (agent),var,https://bina.az/items/4924623,40.36969714,49.96049881,2,9
80,Köhn? tikili,60,var,var,3,N?simi m.,Bin?q?di r.,5376071,137800,vasit?çi (agent),Yoxdur,https://bina.az/items/5376071,40.42494668,49.82868545,3,5
81,Köhn? tikili,53,var,var,2,Sabunçu r.,Bak?xanov q.,5350227,135000,mülkiyy?tçi,var,https://bina.az/items/5350227,40.41317338,49.96365309,2,5
82,Yeni tikili,77,var,var,3,Suraxan? r.,Hövsan q.,5317590,106000,vasit?çi (agent),Yoxdur,https://bina.az/items/5317590,40.3877343,50.072215,7,12
83,Köhn? tikili,60,var,var,3,Memar ?c?mi m.,N?simi r.,5376066,145000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5376066,40.41709463,49.81155439,1,5
84,Köhn? tikili,45,var,var,2,Neftçil?r m.,Qara Qarayev m.,5376065,125000,vasit?çi (agent),Yoxdur,https://bina.az/items/5376065,40.41722672,49.94350113,4,5
85,Köhn? tikili,90,var,var,4,X?tai r.,?hm?dli q.,5376061,125000,vasit?çi (agent),Yoxdur,https://bina.az/items/5376061,40.36300417,49.94406876,1,2
86,Köhn? tikili,58,var,var,2,N?riman N?rimanov m.,N?rimanov r.,5376057,140000,vasit?çi (agent),Yoxdur,https://bina.az/items/5376057,40.40891496,49.87027178,2,4
87,Yeni tikili,57,yoxdur,yoxdur,1,Bin?q?di r.,7-ci mikrorayon q.,4967105,120015,Ya?ay?? Kompleksi,var,https://bina.az/items/4967105,40.4301447,49.8531172,12,13
88,Köhn? tikili,40,var,var,1,Memarl?q v? ?n?aat Universiteti,Texniki Universiteti,5360530,123000,vasit?çi (agent),Yoxdur,https://bina.az/items/5360530,40.36879287,49.81324362,4,5
89,Köhn? tikili,60,var,var,2,N?simi m.,Bin?q?di r.,5307071,142000,vasit?çi (agent),Yoxdur,https://bina.az/items/5307071,40.41864682,49.83085875,8,9
90,Yeni tikili,85,var,var,3,Suraxan? r.,Hövsan q.,4885045,113000,vasit?çi (agent),Yoxdur,https://bina.az/items/4885045,40.3800284,50.06890297,10,10
91,Yeni tikili,47,yoxdur,var,2,20 Yanvar m.,Yasamal r.,4430879,144265,Ya?ay?? Kompleksi,var,https://bina.az/items/4430879,40.39781016,49.808321,2,20
92,Yeni tikili,50,var,var,2,['X?tai r.'],Yoxdur,5372381,119000,vasit?çi (agent),Yoxdur,https://bina.az/items/5372381,40.36854018,49.96435271,5,6
93,Köhn? tikili,74,yoxdur,var,3,X?tai r.,H?zi Aslanov q.,5341848,137000,vasit?çi (agent),Yoxdur,https://bina.az/items/5341848,40.36786193,49.94019627,2,4
94,Köhn? tikili,36,yoxdur,var,1,?n?aatç?lar m.,Yasamal r.,5354291,108000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5354291,40.39183211,49.80621822,5,5
95,Yeni tikili,41,var,var,1,Yasamal r.,Yeni Yasamal q.,5376032,117000,vasit?çi (agent),var,https://bina.az/items/5376032,40.37664225,49.77811281,3,10
96,Köhn? tikili,55,var,var,2,Memar ?c?mi m.,N?simi r.,5358646,138000,vasit?çi (agent),Yoxdur,https://bina.az/items/5358646,40.4153702,49.80871125,5,5
97,Köhn? tikili,70,var,var,2,H?zi Aslanov m.,X?tai r.,5366585,110000,vasit?çi (agent),var,https://bina.az/items/5366585,40.36909194,49.95983587,2,9
98,Köhn? tikili,45,var,var,2,Xalqlar Dostlu?u m.,Nizami r.,5373998,132000,vasit?çi (agent),var,https://bina.az/items/5373998,40.40273068,49.9563135,4,9
99,Köhn? tikili,45,var,var,2,N?simi bazar?,Koala park?,5308705,135000,vasit?çi (agent),Yoxdur,https://bina.az/items/5308705,40.39404521,49.84096819,2,5
100,Köhn? tikili,55,var,var,3,Xalqlar Dostlu?u m.,Nizami r.,5374728,138000,vasit?çi (agent),Yoxdur,https://bina.az/items/5374728,40.39700043,49.941727,3,5
101,Yeni tikili,60,var,var,2,?n?aatç?lar m.,Yasamal r.,5376024,135000,vasit?çi (agent),var,https://bina.az/items/5376024,40.39007152,49.79415648,9,12
102,Yeni tikili,40,yoxdur,var,2,Yasamal r.,Yasamal q.,5356793,129500,mülkiyy?tçi,Yoxdur,https://bina.az/items/5356793,40.36976799,49.79593783,7,16
103,Yeni tikili,82,var,var,3,Sabunçu r.,Bak?xanov q.,5065526,139000,vasit?çi (agent),var,https://bina.az/items/5065526,40.43694011,49.95906565,12,19
104,Yeni tikili,36,var,var,2,Qara Qarayev m.,Nizami r.,5354454,104000,vasit?çi (agent),var,https://bina.az/items/5354454,40.41763287,49.93426197,3,17
105,Köhn? tikili,35,var,var,1,N?riman N?rimanov m.,N?rimanov r.,5207693,108000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5207693,40.4089166,49.8639996,5,5
106,Yeni tikili,55,var,var,2,Sabunçu r.,Bak?xanov q.,5347564,140000,vasit?çi (agent),var,https://bina.az/items/5347564,40.42165529,49.96898988,15,16
107,Yeni tikili,70,yoxdur,yoxdur,2,Neapol dair?si,X?tai r.,5356371,123000,vasit?çi (agent),Yoxdur,https://bina.az/items/5356371,40.38055514,49.9652483,2,13
108,Yeni tikili,40,var,var,1,['N?rimanov r.'],Yoxdur,5356718,125000,vasit?çi (agent),Yoxdur,https://bina.az/items/5356718,40.40858164,49.83559144,4,5
109,Yeni tikili,65,yoxdur,var,2,Neapol dair?si,X?tai r.,5356380,118000,vasit?çi (agent),Yoxdur,https://bina.az/items/5356380,40.38006478,49.96516247,13,13
110,Köhn? tikili,40,var,var,2,Be?m?rt?b?,M?rk?zi Univermaq,5375995,143000,vasit?çi (agent),Yoxdur,https://bina.az/items/5375995,40.37489447,49.83504349,1,3
111,Köhn? tikili,55,var,var,2,Memar ?c?mi m.,20 Yanvar m.,5350327,133500,mülkiyy?tçi,Yoxdur,https://bina.az/items/5350327,40.41195725,49.80870018,3,5
112,Yeni tikili,38,var,var,2,N?riman N?rimanov m.,N?rimanov r.,5281674,150000,mülkiyy?tçi,Yoxdur,https://bina.az/items/5281674,40.39976633,49.8657967,11,17
113,Köhn? tikili,31,var,var,2,Bak? Dövl?t Universiteti,Elml?r Akademiyas? m.,5246586,123000,vasit?çi (agent),Yoxdur,https://bina.az/items/5246586,40.37484864,49.80981704,3,5
114,Köhn? tikili,50,var,var,2,Memar ?c?mi m.,N?simi r.,5338908,128000,vasit?çi (agent),var,https://bina.az/items/5338908,40.41512128,49.81845095,5,5
115,Köhn? tikili,65,var,var,1,Neftçil?r m.,Nizami r.,5328928,112000,vasit?çi (agent),var,https://bina.az/items/5328928,40.40682403,49.94584291,2,9
116,Yeni tikili,66,var,yoxdur,2,['Bin?q?di r.'],Yoxdur,5336643,150000,vasit?çi (agent),var,https://bina.az/items/5336643,40.42142338,49.80895973,3,18
117,Köhn? tikili,90,var,var,3,Ukrayna dair?si,H?zi Aslanov m.,5203697,136000,vasit?çi (agent),Yoxdur,https://bina.az/items/5203697,40.37840167,49.95363461,1,5
118,Yeni tikili,60,var,var,2,?hm?dli m.,X?tai r.,5302884,138000,vasit?çi (agent),var,https://bina.az/items/5302884,40.38302337,49.94508372,13,14
